Date;hours;energy
20171222;23;3298,591
20171222;24;3277,091
20171223;1;3183,126
20171223;2;3087,439
20171223;3;3127,425
20171223;4;3201,451
20171223;5;3126,588
20171223;6;3140,324
20171223;7;3361,29
20171223;8;3641,537
20171223;9;3974,577
20171223;10;4174,631
20171223;11;4414,06
20171223;12;4621,768
20171223;13;4767,478
20171223;14;4837,977
20171223;15;4960,961
20171223;16;5048,741
20171223;17;5132,302
20171223;18;5207,738
20171223;19;5221,313
20171223;20;5234,34
20171223;21;5209,578
20171223;22;5183,014
20171223;23;5170,927
20171223;24;5120,514
20171224;1;5097,639
20171224;2;4964,898
20171224;3;4853,854
20171224;4;4899,974
20171224;5;5007,828
20171224;6;5038,388
20171224;7;5044,538
20171224;8;5036,979
20171224;9;5041,524
20171224;10;4921,841
20171224;11;4833,85
20171224;12;4727,161
20171224;13;4639,652
20171224;14;4514,501
20171224;15;4525,481
20171224;16;4524,329
20171224;17;4638,439
20171224;18;4784,948
20171224;19;4837,588
20171224;20;4913,477
20171224;21;4947,026
20171224;22;4942,861
20171224;23;4993,703
20171224;24;5020,757
20171225;1;5050,838
20171225;2;5085,141
20171225;3;5055,6
20171225;4;4969,73
20171225;5;4826,675
20171225;6;4648,629
20171225;7;4442,302
20171225;8;4301,641
20171225;9;4029,264
20171225;10;3894,764
20171225;11;3951,675
20171225;12;4000,474
20171225;13;3963,876
20171225;14;3822,965
20171225;15;3673,874
20171225;16;3555,588
20171225;17;3442,792
20171225;18;3312,278
20171225;19;3093,988
20171225;20;2912,225
20171225;21;2700,473
20171225;22;2515,473
20171225;23;2403,918
20171225;24;2228,513
20171226;1;2203,553
20171226;2;2274,38
20171226;3;2280,789
20171226;4;2241,491
20171226;5;2379,015
20171226;6;2607,203
20171226;7;2843,352
20171226;8;3017,063
20171226;9;3110,786
20171226;10;3058,29
20171226;11;2945,43
20171226;12;2937,268
20171226;13;2946,754
20171226;14;3030,762
20171226;15;3337,529
20171226;16;3709,977
20171226;17;3858,393
20171226;18;3766,127
20171226;19;3714,693
20171226;20;3696,465
20171226;21;3553,677
20171226;22;3543,089
20171226;23;3392,976
20171226;24;3185,553
20171227;1;2937,936
20171227;2;2698,352
20171227;3;2472,998
20171227;4;2252,014
20171227;5;2149,616
20171227;6;1980,841
20171227;7;1745,691
20171227;8;1705,04
20171227;9;1857,513
20171227;10;1751,203
20171227;11;1567,317
20171227;12;1394,498
20171227;13;1455,54
20171227;14;1658,164
20171227;15;1964,003
20171227;16;2534,99
20171227;17;2952,779
20171227;18;3116,287
20171227;19;3134,493
20171227;20;3132,228
20171227;21;2938,137
20171227;22;2792,778
20171227;23;2645,101
20171227;24;2608,789
20171228;1;2578,138
20171228;2;2499,474
20171228;3;2426,803
20171228;4;2282,102
20171228;5;2147,665
20171228;6;1871,776
20171228;7;1883,736
20171228;8;1891,19
20171228;9;1845,077
20171228;10;1766,875
20171228;11;1618,74
20171228;12;1504,55
20171228;13;1488,284
20171228;14;1516,284
20171228;15;1609,088
20171228;16;1846,338
20171228;17;2031,537
20171228;18;2147,103
20171228;19;2378,539
20171228;20;2456,512
20171228;21;2464,764
20171228;22;2482,428
20171228;23;2241,838
20171228;24;2094,529
20171229;1;1809,177
20171229;2;1634,941
20171229;3;1616,888
20171229;4;1761,053
20171229;5;1761,201
20171229;6;1634,429
20171229;7;1628,539
20171229;8;1735,151
20171229;9;1851,464
20171229;10;1793,114
20171229;11;1864,1
20171229;12;1848,814
20171229;13;1723,975
20171229;14;1568,818
20171229;15;1398,087
