Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20180105;13;4251,778;
20180105;14;4077,391;
20180105;15;3870,703;
20180105;16;3709,766;
20180105;17;3526,577;
20180105;18;3598,440;
20180105;19;3802,313;
20180105;20;3682,577;
20180105;21;3414,454;
20180105;22;3107,399;
20180105;23;2547,363;
20180105;24;2211,783;
20180106;1;1872,748;
20180106;2;1613,265;
20180106;3;1545,651;
20180106;4;1561,541;
20180106;5;1611,127;
20180106;6;1594,441;
20180106;7;1661,351;
20180106;8;1897,128;
20180106;9;2041,889;
20180106;10;1983,177;
20180106;11;1683,376;
20180106;12;1389,339;
20180106;13;1092,453;
20180106;14;1043,590;
20180106;15;804,354;
20180106;16;736,975;
20180106;17;741,223;
20180106;18;734,335;
20180106;19;761,188;
20180106;20;819,600;
20180106;21;832,223;
20180106;22;913,664;
20180106;23;1054,789;
20180106;24;1285,574;
20180107;1;1306,876;
20180107;2;1432,986;
20180107;3;1524,891;
20180107;4;1642,063;
20180107;5;1648,765;
20180107;6;1540,089;
20180107;7;1407,666;
20180107;8;1317,091;
20180107;9;1193,000;
20180107;10;1158,393;
20180107;11;1058,499;
20180107;12;930,211;
20180107;13;934,238;
20180107;14;861,274;
20180107;15;704,898;
20180107;16;640,710;
20180107;17;603,899;
20180107;18;625,938;
20180107;19;670,697;
20180107;20;708,047;
20180107;21;752,975;
20180107;22;826,751;
20180107;23;927,187;
20180107;24;973,467;
20180108;1;980,016;
20180108;2;1020,750;
20180108;3;1042,937;
20180108;4;1069,825;
20180108;5;1117,849;
20180108;6;1022,565;
20180108;7;912,125;
20180108;8;812,237;
20180108;9;816,015;
20180108;10;698,563;
20180108;11;523,462;
20180108;12;357,076;
20180108;13;322,944;
20180108;14;338,632;
20180108;15;362,171;
20180108;16;464,034;
20180108;17;636,046;
20180108;18;779,885;
20180108;19;957,511;
20180108;20;1062,301;
20180108;21;1099,751;
20180108;22;1022,563;
20180108;23;1118,873;
20180108;24;1241,774;
20180109;1;1504,199;
20180109;2;1644,700;
20180109;3;1885,964;
20180109;4;2135,239;
20180109;5;2413,216;
20180109;6;2635,954;
20180109;7;3026,326;
20180109;8;3297,329;
20180109;9;3388,716;
20180109;10;3394,153;
20180109;11;3307,566;
20180109;12;3154,340;
20180109;13;3210,666;
20180109;14;3343,048;
20180109;15;3558,963;
20180109;16;3851,453;
20180109;17;4173,091;
20180109;18;4349,113;
20180109;19;4383,292;
20180109;20;4409,714;
20180109;21;4320,163;
20180109;22;4198,939;
20180109;23;4041,169;
20180109;24;3976,576;
20180110;1;3715,850;
20180110;2;3397,078;
20180110;3;3405,877;
20180110;4;3201,027;
20180110;5;2993,337;
20180110;6;2746,614;
20180110;7;2407,150;
20180110;8;2231,240;
20180110;9;2194,929;
20180110;10;1774,264;
20180110;11;1493,025;
20180110;12;1287,950;
20180110;13;1262,403;
20180110;14;1260,865;
20180110;15;1327,214;
20180110;16;1396,238;
20180110;17;1370,953;
20180110;18;1434,726;
20180110;19;1353,502;
20180110;20;1208,927;
20180110;21;1223,603;
20180110;22;1117,351;
20180110;23;1069,750;
20180110;24;1007,063;
20180111;1;951,609;
20180111;2;897,735;
20180111;3;923,577;
20180111;4;900,939;
20180111;5;914,641;
20180111;6;919,989;
20180111;7;882,252;
20180111;8;879,700;
20180111;9;807,788;
20180111;10;784,863;
20180111;11;701,636;
20180111;12;621,727;
20180111;13;549,812;
20180111;14;532,387;
20180111;15;586,513;
20180111;16;631,825;
20180111;17;625,989;
20180111;18;613,400;
20180111;19;643,036;
20180111;20;707,677;
20180111;21;662,787;
20180111;22;664,709;
20180111;23;676,178;
20180111;24;705,027;
20180112;1;760,399;
20180112;2;799,827;
20180112;3;847,764;
20180112;4;844,576;
20180112;5;906,748;
20180112;6;987,668;
20180112;7;1045,952;
20180112;8;1188,092;
20180112;9;1217,252;
20180112;10;1202,077;
20180112;11;1217,515;
20180112;12;1229,602;
20180112;13;1279,425;
20180112;14;1284,177;
20180112;15;1413,977;
20180112;16;1488,092;
20180112;17;1601,962;
20180112;18;1696,677;
20180112;19;1861,563;
20180112;20;1991,063;
20180112;21;1936,786;
20180112;22;1898,486;
20180112;23;1869,427;
20180112;24;1884,685;
20180113;1;1857,099;
20180113;2;1888,879;
20180113;3;1922,139;
20180113;4;1926,325;
20180113;5;1906,338;
20180113;6;1883,250;
20180113;7;2007,890;
20180113;8;2000,228;
20180113;9;2105,901;
20180113;10;2085,565;
20180113;11;2236,514;
20180113;12;2484,814;
20180113;13;2377,053;
20180113;14;2187,813;
20180113;15;2043,439;
20180113;16;2084,016;
20180113;17;2202,464;
20180113;18;2200,914;
20180113;19;2363,816;
20180113;20;2370,336;
20180113;21;2316,825;
20180113;22;2210,778;
20180113;23;2080,589;
20180113;24;2118,174;
20180114;1;2087,288;
20180114;2;2070,924;
20180114;3;2107,378;
20180114;4;2089,143;
20180114;5;2041,453;
20180114;6;2080,004;
20180114;7;2132,603;
20180114;8;2113,413;
20180114;9;2116,525;
20180114;10;2090,840;
20180114;11;2059,363;
20180114;12;1862,201;
20180114;13;1765,061;
20180114;14;1708,974;
20180114;15;1654,150;
20180114;16;1667,126;
20180114;17;1747,669;
20180114;18;1767,279;
20180114;19;1843,303;
20180114;20;1879,987;
20180114;21;1832,004;
20180114;22;1969,040;
20180114;23;2064,278;
20180114;24;2037,611;
20180115;1;1991,380;
20180115;2;1975,190;
20180115;3;1936,663;
20180115;4;2073,866;
20180115;5;2176,390;
20180115;6;2237,338;
20180115;7;2467,353;
20180115;8;2831,062;
20180115;9;2959,739;
20180115;10;3103,475;
20180115;11;3044,202;
20180115;12;2838,289;
20180115;13;2893,254;
20180115;14;2993,978;
20180115;15;3248,080;
20180115;16;3448,342;
20180115;17;3829,628;
20180115;18;4333,454;
20180115;19;4510,740;
20180115;20;4609,976;
20180115;21;4671,727;
20180115;22;4632,517;
20180115;23;4647,791;
20180115;24;4702,048;
20180116;1;4746,113;
20180116;2;4792,215;
20180116;3;4775,101;
20180116;4;4860,639;
20180116;5;4932,353;
20180116;6;4936,000;
20180116;7;4928,276;
20180116;8;4889,802;
20180116;9;4733,114;
20180116;10;4498,411;
20180116;11;4217,514;
20180116;12;4024,476;
20180116;13;3722,780;
20180116;14;3571,600;
20180116;15;3327,902;
20180116;16;3173,420;
20180116;17;3114,869;
20180116;18;2924,978;
20180116;19;2751,477;
20180116;20;2584,790;
20180116;21;2562,052;
20180116;22;2505,463;
20180116;23;2489,013;
20180116;24;2413,479;
20180117;1;2546,366;
20180117;2;2676,463;
20180117;3;2775,080;
20180117;4;2702,301;
20180117;5;2560,338;
20180117;6;2471,537;
20180117;7;2361,839;
20180117;8;2224,267;
20180117;9;2073,539;
20180117;10;1932,063;
20180117;11;1909,077;
20180117;12;1735,253;
20180117;13;1617,865;
20180117;14;1578,252;
20180117;15;1393,823;
20180117;16;1529,289;
20180117;17;1730,448;
20180117;18;1864,428;
20180117;19;2016,340;
20180117;20;2115,279;
20180117;21;2275,325;
20180117;22;2326,417;
20180117;23;2305,325;
20180117;24;2452,352;
20180117;25;2116,354;
20180117;26;2120,266;
20180117;27;2146,423;
20180117;28;2192,327;
20180117;29;2153,300;
20180117;30;2015,079;
20180117;31;1916,007;
20180117;32;1829,851;
20180117;33;1792,032;
20180117;34;1754,717;
20180117;35;1874,438;
20180117;36;2097,469;
20180117;37;2365,053;
20180117;38;2807,067;
20180117;39;3272,592;
20180117;40;3684,638;
20180117;41;3953,488;
20180117;42;4071,814;
20180117;43;4018,631;
20180117;44;3967,426;
20180117;45;3926,390;
20180117;46;3742,066;
20180117;47;3562,422;
20180117;48;3528,955;
20180118;1;2562,989;
20180118;2;2491,652;
20180118;3;2592,748;
20180118;4;2672,266;
20180118;5;2584,616;
20180118;6;2392,712;
20180118;7;2296,638;
20180118;8;2173,423;
20180118;9;2138,337;
20180118;10;2109,951;
20180118;11;2199,143;
20180118;12;2333,227;
20180118;13;2676,590;
20180118;14;3096,291;
20180118;15;3471,625;
20180118;16;3803,740;
20180118;17;4086,090;
20180118;18;4152,827;
20180118;19;4029,726;
20180118;20;4092,199;
20180118;21;4119,403;
20180118;22;3860,008;
20180118;23;3646,442;
20180118;24;3569,565;
20180119;1;3562,963;
20180119;2;3296,574;
20180119;3;3166,002;
20180119;4;3076,539;
20180119;5;2874,378;
20180119;6;2936,801;
20180119;7;2829,849;
20180119;8;2541,554;
20180119;9;2319,374;
20180119;10;2122,575;
20180119;11;2026,153;
20180119;12;1971,553;
20180119;13;1879,102;
20180119;14;1755,612;
20180119;15;1605,698;
20180119;16;1522,902;
20180119;17;1369,613;
20180119;18;1244,901;
20180119;19;1240,926;
20180119;20;1131,268;
20180119;21;1087,339;
20180119;22;1073,255;
20180119;23;867,497;
20180119;24;719,876;
20180120;1;658,163;
20180120;2;616,349;
20180120;3;626,938;
20180120;4;620,391;
20180120;5;597,904;
20180120;6;601,840;
20180120;7;623,501;
20180120;8;586,387;
20180120;9;561,339;
20180120;10;525,225;
20180120;11;438,063;
20180120;12;345,673;
20180120;13;286,550;
20180120;14;228,773;
20180120;15;180,747;
20180120;16;180,001;
20180120;17;207,258;
20180120;18;212,873;
20180120;19;196,359;
20180120;20;203,775;
20180120;21;214,260;
20180120;22;230,661;
20180120;23;204,487;
20180120;24;190,047;
20180121;1;156,472;
20180121;2;103,734;
20180121;3;94,960;
20180121;4;72,118;
20180121;5;62,981;
20180121;6;86,108;
20180121;7;110,617;
20180121;8;120,495;
20180121;9;119,908;
20180121;10;115,532;
20180121;11;91,807;
20180121;12;95,841;
20180121;13;85,244;
20180121;14;103,368;
20180121;15;125,769;
20180121;16;155,795;
20180121;17;159,981;
20180121;18;166,434;
20180121;19;177,657;
20180121;20;169,884;
20180121;21;171,884;
20180121;22;175,046;
20180121;23;181,309;
20180121;24;177,686;
20180122;1;191,261;
20180122;2;244,159;
20180122;3;275,121;
20180122;4;306,522;
20180122;5;333,170;
20180122;6;367,774;
20180122;7;456,537;
20180122;8;598,297;
20180122;9;775,033;
20180122;10;744,607;
20180122;11;778,999;
20180122;12;809,242;
20180122;13;907,603;
20180122;14;993,347;
20180122;15;1170,248;
20180122;16;1342,251;
20180122;17;1515,539;
20180122;18;1818,888;
