Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20171115;13;1209,701;
20171115;14;1110,816;
20171115;15;1025,790;
20171115;16;1038,602;
20171115;17;1076,662;
20171115;18;1145,390;
20171115;19;1164,150;
20171115;20;1280,403;
20171115;21;1229,638;
20171115;22;1136,414;
20171115;23;1015,514;
20171115;24;870,441;
20171116;1;779,152;
20171116;2;678,797;
20171116;3;600,060;
20171116;4;461,862;
20171116;5;344,324;
20171116;6;276,572;
20171116;7;248,982;
20171116;8;256,337;
20171116;9;258,013;
20171116;10;231,723;
20171116;11;212,699;
20171116;12;205,340;
20171116;13;207,086;
20171116;14;209,073;
20171116;15;219,286;
20171116;16;281,323;
20171116;17;365,501;
20171116;18;551,853;
20171116;19;749,164;
20171116;20;1010,814;
20171116;21;1221,716;
20171116;22;1400,114;
20171116;23;1554,549;
20171116;24;1755,264;
20171117;1;1834,956;
20171117;2;1804,453;
20171117;3;1847,378;
20171117;4;1854,600;
20171117;5;1836,162;
20171117;6;1897,265;
20171117;7;1782,637;
20171117;8;1681,151;
20171117;9;1462,466;
20171117;10;1215,777;
20171117;11;1010,226;
20171117;12;1092,378;
20171117;13;1105,439;
20171117;14;995,299;
20171117;15;917,065;
20171117;16;872,114;
20171117;17;898,864;
20171117;18;1001,678;
20171117;19;1204,551;
20171117;20;1368,214;
20171117;21;1550,355;
20171117;22;1596,425;
20171117;23;1536,339;
20171117;24;1399,279;
20171118;1;1448,949;
20171118;2;1542,750;
20171118;3;1608,927;
20171118;4;1685,624;
20171118;5;1789,724;
20171118;6;1947,976;
20171118;7;2039,776;
20171118;8;2209,788;
20171118;9;2357,611;
20171118;10;2500,951;
20171118;11;2529,936;
20171118;12;2774,003;
20171118;13;2961,854;
20171118;14;3194,467;
20171118;15;3357,680;
20171118;16;3556,053;
20171118;17;3765,939;
20171118;18;3880,713;
20171118;19;3861,476;
20171118;20;3640,665;
20171118;21;3599,214;
20171118;22;3556,479;
20171118;23;3523,876;
20171118;24;3592,489;
20171119;1;3676,867;
20171119;2;3747,552;
20171119;3;3616,690;
20171119;4;3508,500;
20171119;5;3759,403;
20171119;6;3686,625;
20171119;7;3716,231;
20171119;8;3642,667;
20171119;9;3763,777;
20171119;10;3917,587;
20171119;11;3973,726;
20171119;12;4098,312;
20171119;13;4116,117;
20171119;14;4134,038;
20171119;15;4091,064;
20171119;16;4056,966;
20171119;17;4204,652;
20171119;18;4159,413;
20171119;19;3772,077;
20171119;20;3545,786;
20171119;21;3367,561;
20171119;22;3539,010;
20171119;23;3582,504;
20171119;24;3693,676;
20171120;1;3703,154;
20171120;2;3572,624;
20171120;3;3397,401;
20171120;4;3399,777;
20171120;5;3491,254;
20171120;6;3529,751;
20171120;7;3449,441;
20171120;8;3221,714;
20171120;9;2871,312;
20171120;10;2730,901;
20171120;11;2694,094;
20171120;12;2474,625;
20171120;13;2336,189;
20171120;14;2152,353;
20171120;15;1935,565;
20171120;16;1622,281;
20171120;17;1482,090;
20171120;18;1373,553;
20171120;19;1212,476;
20171120;20;1122,702;
20171120;21;1024,415;
20171120;22;936,402;
20171120;23;830,464;
20171120;24;723,751;
20171121;1;678,251;
20171121;2;611,774;
20171121;3;504,902;
20171121;4;421,688;
